N,M,Area,Ejecucion(ms),Busqueda(h(t)),Movimientos,Giros
31,31,961,13.4643,2944.5000000000127,1194,424
31,31,961,3.5088,1686.5833333333292,701,243
31,31,961,0.1241,146.00000000000003,77,16
31,31,961,1.2456,937.5833333333342,410,126
31,31,961,1.6136,1280.6666666666674,545,180
31,31,961,24.8777,5266.499999999987,1992,791
31,31,961,10.4818,3388.66666666669,1358,486
32,32,1024,6.6902,2515.416666666669,1076,333
32,32,1024,30.8171,6119.999999999939,2298,924
32,32,1024,9.7893,3366.1666666666797,1319,492
32,32,1024,5.5277,2189.16666666666,918,295
32,32,1024,24.9024,5330.0833333333085,2045,789
32,32,1024,4.2806,1896.3333333333244,825,254
32,32,1024,0.6452,793.9166666666681,339,104
32,32,1024,1.4819,960.3333333333342,452,112
32,32,1024,12.7485,3726.500000000026,1425,560
33,33,1089,7.8289,2632.5000000000055,1069,370
33,33,1089,44.9971,8138.500000000007,2798,1267
33,33,1089,39.2958,6761.7499999999045,2534,1036
33,33,1089,5.8412,2436.749999999999,1047,329
33,33,1089,37.4586,6570.749999999922,2471,990
33,33,1089,0.711,803.0833333333352,337,114
33,33,1089,4.6016,2159.4999999999927,901,292
33,33,1089,15.9931,4062.916666666713,1639,588
33,33,1089,21.5374,5240.749999999988,1972,795
33,33,1089,30.7964,6399.333333333275,2309,1007
34,34,1156,14.6766,3663.2500000000246,1534,498
34,34,1156,5.2855,2359.4999999999955,991,325
34,34,1156,14.0755,3856.000000000035,1526,562
34,34,1156,15.1667,4071.0000000000364,1605,592
34,34,1156,23.1186,5235.249999999988,2032,782
34,34,1156,4.9968,2361.6666666666642,966,329
34,34,1156,9.4921,3390.0000000000223,1313,503
34,34,1156,31.063,6092.416666666613,2267,931
34,34,1156,18.3778,4667.2500000000055,1787,710
34,34,1156,8.3149,2925.3333333333467,1230,398
35,35,1225,35.8706,6094.749999999927,2362,908
35,35,1225,35.4792,6338.833333333264,2392,953
35,35,1225,8.2558,3049.333333333351,1248,434
35,35,1225,25.7411,5428.166666666654,2017,823
35,35,1225,8.8141,2774.0000000000086,1178,378
35,35,1225,6.9535,2970.333333333346,1170,434
35,35,1225,7.5834,2782.250000000006,1134,392
35,35,1225,6.2592,2356.8333333333344,1017,316
35,35,1225,23.7943,5296.499999999985,2015,794
35,35,1225,16.2692,4349.666666666699,1672,648
36,36,1296,35.5227,6637.749999999905,2493,1001
36,36,1296,5.6543,2564.2500000000023,1002,379
36,36,1296,6.7933,2552.000000000003,1061,353
36,36,1296,19.7347,4806.916666666668,1865,703
36,36,1296,2.5669,1479.6666666666638,667,195
36,36,1296,0.1225,149.49999999999991,79,15
36,36,1296,57.491,8379.499999999873,3096,1292
36,36,1296,24.8739,5424.33333333331,2019,854
36,36,1296,0.0922,212.91666666666674,88,30
36,36,1296,5.6987,2526.000000000002,1023,355
37,37,1369,10.4118,3348.666666666682,1343,480
37,37,1369,27.0873,5452.083333333317,2134,796
37,37,1369,72.0851,9728.583333333123,3473,1501
37,37,1369,11.7904,3588.416666666696,1502,495
37,37,1369,13.7958,4123.500000000042,1601,615
37,37,1369,15.431,4155.583333333361,1681,589
37,37,1369,31.1739,6146.499999999948,2340,914
37,37,1369,54.3729,7970.583333333217,2924,1231
37,37,1369,13.493,3726.0000000000246,1506,529
37,37,1369,2.4539,1666.1666666666617,675,242
38,38,1444,62.8075,9103.749999999796,3246,1409
38,38,1444,3.9356,2044.583333333323,864,286
38,38,1444,33.5917,6131.333333333268,2356,913
38,38,1444,4.3327,1901.499999999991,879,235
38,38,1444,25.8866,5009.583333333333,2070,692
38,38,1444,8.3383,2944.0000000000123,1217,408
38,38,1444,61.086,8185.666666666503,3152,1217
38,38,1444,15.747,4197.833333333366,1685,605
38,38,1444,7.5279,2959.2500000000105,1187,422
38,38,1444,5.8065,2407.9166666666615,1015,334
39,39,1521,2.3621,1461.0833333333308,669,186
39,39,1521,20.9828,4862.000000000013,1960,698
39,39,1521,64.7136,8415.083333333205,3231,1249
39,39,1521,63.0543,8208.249999999884,3179,1202
39,39,1521,11.5804,3456.1666666666874,1459,476
39,39,1521,60.5074,8411.083333333183,3178,1271
39,39,1521,45.9504,6981.6666666665915,2706,1013
39,39,1521,28.1203,5543.499999999955,2150,818
39,39,1521,13.7181,3417.3333333333535,1490,454
39,39,1521,0.5643,617.0833333333336,300,72
40,40,1600,52.6984,7629.499999999878,2939,1113
40,40,1600,35.8662,6252.749999999937,2499,900
40,40,1600,40.7671,6767.333333333259,2566,1016
40,40,1600,17.3969,4244.000000000026,1766,581
40,40,1600,62.0893,8639.916666666526,3258,1320
40,40,1600,12.3269,3714.0000000000236,1476,534
40,40,1600,27.6232,5815.083333333304,2251,858
40,40,1600,42.7016,7067.083333333217,2656,1077
40,40,1600,1.6799,1224.7500000000018,541,160
40,40,1600,13.5547,3873.583333333367,1571,556
41,41,1681,6.2956,2745.000000000006,1122,397
41,41,1681,45.7594,7108.249999999907,2757,1047
41,41,1681,38.9649,6596.083333333244,2538,978
41,41,1681,3.3906,1686.6666666666622,723,224
41,41,1681,11.2869,3175.6666666666815,1333,433
41,41,1681,0.8469,780.3333333333344,386,93
41,41,1681,3.7315,1960.3333333333292,836,261
41,41,1681,18.4148,4545.333333333345,1739,692
41,41,1681,49.1231,7138.5833333332475,2748,1041
41,41,1681,38.2756,6459.583333333269,2503,950
42,42,1764,19.7223,4620.666666666668,1843,667
42,42,1764,19.0411,4427.333333333362,1805,640
